player,match_id,match_date,innings,over,delivery_num,runs,total_runs,is_four,is_six,dismissed,non_striker,bowler
AJ Finch,1001349,2017-02-17,1,0,0,0,0,0,0,0,M Klinger,SL Malinga
AJ Finch,1001349,2017-02-17,1,0,1,0,0,0,0,0,M Klinger,SL Malinga
AJ Finch,1001349,2017-02-17,1,0,2,1,1,0,0,0,M Klinger,SL Malinga
M Klinger,1001349,2017-02-17,1,0,3,2,2,0,0,0,AJ Finch,SL Malinga
M Klinger,1001349,2017-02-17,1,0,4,0,0,0,0,0,AJ Finch,SL Malinga
M Klinger,1001349,2017-02-17,1,0,5,3,3,0,0,0,AJ Finch,SL Malinga
M Klinger,1001349,2017-02-17,1,1,0,0,0,0,0,0,AJ Finch,KMDN Kulasekara
M Klinger,1001349,2017-02-17,1,1,1,1,1,0,0,0,AJ Finch,KMDN Kulasekara
AJ Finch,1001349,2017-02-17,1,1,2,0,0,0,0,0,M Klinger,KMDN Kulasekara
AJ Finch,1001349,2017-02-17,1,1,3,0,0,0,0,0,M Klinger,KMDN Kulasekara
AJ Finch,1001349,2017-02-17,1,1,4,4,4,1,0,0,M Klinger,KMDN Kulasekara
AJ Finch,1001349,2017-02-17,1,1,5,2,2,0,0,0,M Klinger,KMDN Kulasekara
M Klinger,1001349,2017-02-17,1,2,0,1,1,0,0,0,AJ Finch,JRMVB Sanjaya
AJ Finch,1001349,2017-02-17,1,2,1,1,1,0,0,0,M Klinger,JRMVB Sanjaya
M Klinger,1001349,2017-02-17,1,2,2,0,0,0,0,0,AJ Finch,JRMVB Sanjaya
M Klinger,1001349,2017-02-17,1,2,3,0,0,0,0,0,AJ Finch,JRMVB Sanjaya
M Klinger,1001349,2017-02-17,1,2,4,4,4,1,0,0,AJ Finch,JRMVB Sanjaya
M Klinger,1001349,2017-02-17,1,2,5,0,0,0,0,0,AJ Finch,JRMVB Sanjaya
AJ Finch,1001349,2017-02-17,1,3,0,0,0,0,0,0,M Klinger,KMDN Kulasekara
AJ Finch,1001349,2017-02-17,1,3,1,1,1,0,0,0,M Klinger,KMDN Kulasekara
M Klinger,1001349,2017-02-17,1,3,2,1,1,0,0,0,AJ Finch,KMDN Kulasekara
AJ Finch,1001349,2017-02-17,1,3,3,1,1,0,0,0,M Klinger,KMDN Kulasekara
M Klinger,1001349,2017-02-17,1,3,4,4,4,1,0,0,AJ Finch,KMDN Kulasekara
